SEQID	Genome size	circ.	Coverage	Completeness	Contamination	classification	simple_classification	Species	Phylum	Genus	5S ribosomal RNA	16S ribosomal RNA	23S ribosomal RNA	# 5S rRNA/16S rRNA / 23S rRNA	Number_of_tRNA	Contigs	Passed_assembly_QC	Assembly_QC_reason	In_bac120_MSA	N_bac120_markers	In_bac120_tree	Tree_exclusion_reason	AntiSMASH_failure	AntiSMASH_OK	GenomeQ	ID	inhibit Enterococcus mundtii DSM 4838	inhibit Enterobacter mori DSM 26271	inhibit Staphylococcus epidermidis AU 24	inhibit Escherichia coli DSM 498	inhibit Pseudomonas putida DSM 6125	inhibit Acinetobacter baylyi DSM 14961	inhibit Staphylococcus aureus DSM 20231
PBI66519.barcode44	6979650	N	NA	100	0.46	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_D;g__Rugamonas;s__Rugamonas hordei	Pseudomonadota - g__Rugamonas	Rugamonas hordei	p__Pseudomonadota	g__Rugamonas	7	7	7	7/7/7	26	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	AGS-131125-GR3-PDA-18	0	0	0	0	0	0	0
PBI66519.barcode45	6319053	N	NA	100	0.19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas kilonensis	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas kilonensis	p__Pseudomonadota	g__Aquipseudomonas	6	5	5	6/5/5	24	2	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	AGS-131125-GR1-AC-10B	0	0	1	0	0	1	0
PBI66519.barcode46	56176	N	NA	86.36	2.49	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus sp040544055	Bacillota - g__Paenibacillus	Paenibacillus sp040544055	p__Bacillota	g__Paenibacillus	3	1	2	3/1/2	21	687	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	AGS-131125-PDA-GR3-7	1	1	1	1	1	1	1
PBI66519.barcode47	5325595	N	NA	100	0.11	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia plymuthica	Pseudomonadota - g__Serratia	Serratia plymuthica	p__Pseudomonadota	g__Serratia	8	7	7	8/7/7	27	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	AGS-131125-PDA-GR4-9	1	0	1	0	0	0	1
PBI66519.barcode48	4873677	N	NA	100	0.07	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia plymuthica	Pseudomonadota - g__Serratia	Serratia plymuthica	p__Pseudomonadota	g__Serratia	6	7	6	6/7/6	28	3	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	AASS-011225-GR3-PDA-11	1	0	1	0	0	0	1
PBI66519.barcode49	3311825	N	NA	100	1.94	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia;s__Priestia megaterium_C	Bacillota - g__Priestia	Priestia megaterium_C	p__Bacillota	g__Priestia	13	11	16	13/11/16	25	23	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AASS-011225-GR5-PDA-14	0	0	0	0	0	0	0
PBI66519.barcode50	5453743	N	NA	100	0.12	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia plymuthica	Pseudomonadota - g__Serratia	Serratia plymuthica	p__Pseudomonadota	g__Serratia	8	7	7	8/7/7	27	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	AASS-011225-GR3-PDA-12	1	0	1	1	0	1	1
PBI66519.barcode51	76020	N	NA	87.43	5.75	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia;s__Priestia megaterium_C	Bacillota - g__Priestia	Priestia megaterium_C	p__Bacillota	g__Priestia	3	2	2	3/2/2	25	639	FALSE	completeness<90;contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	AASS-011225-GR11-PDA-12	0	0	0	0	0	0	0
PBI66519.barcode52	51496	N	NA	81.55	1.68	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces goshikiensis	Actinomycetota - g__Streptomyces	Streptomyces goshikiensis	p__Actinomycetota	g__Streptomyces	2	1	1	2/1/1	22	1165	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	AASS-011225-GR6-PDA-3	1	0	1	0	0	0	1
PBI66519.barcode53	47737	N	NA	94.95	3.04	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp900116325	Actinomycetota - g__Streptomyces	Streptomyces sp900116325	p__Actinomycetota	g__Streptomyces	1	1	1	1/1/1	22	1222	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AASS-011225-GR4-PDA-12	0	0	0	0	0	0	0
PBI66519.barcode54	3081	N	NA	5.02	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_B	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_B	p__Bacillota	g__Paenibacillus	NA	NA	NA	NA	NA	1	FALSE	completeness<90;size<1500000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	AASS-011225-GR5-PDA-15	0	1	1	1	1	1	1
PBI66519.barcode55	4760105	N	NA	100	0.9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas sp003050925	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas sp003050925	p__Pseudomonadota	g__Aquipseudomonas	8	8	7	8/8/7	26	3	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	AASS-011225-GR1-PDA-11	0	0	0	0	0	0	0
PBI66519.barcode56	5453740	N	NA	100	0.12	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia plymuthica	Pseudomonadota - g__Serratia	Serratia plymuthica	p__Pseudomonadota	g__Serratia	8	7	7	8/7/7	27	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	AASS-011225-GR3-R2A-6	1	1	1	1	0	1	1
PBI66519.barcode57	41305	N	NA	89.58	6.4	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp900116325	Actinomycetota - g__Streptomyces	Streptomyces sp900116325	p__Actinomycetota	g__Streptomyces	4	1	1	4/1/1	26	1611	FALSE	completeness<90;contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	AASS-011225-GR6-PDA-2	0	0	0	0	0	0	0
PBI66519.barcode58	201204	N	NA	99.63	1.24	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp019090105	Actinomycetota - g__Streptomyces	Streptomyces sp019090105	p__Actinomycetota	g__Streptomyces	2	1	1	2/1/1	23	183	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AASS-011225-GR4-PDA-1	1	0	1	0	0	0	1
PBI66519.barcode60	7237488	N	NA	99.96	0.01	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp036206005	Actinomycetota - g__Streptomyces	Streptomyces sp036206005	p__Actinomycetota	g__Streptomyces	6	6	6	6/6/6	22	2	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR2-PDA-6	0	0	0	0	0	0	0
PBI66519.barcode61	7724743	N	NA	100	0.78	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces papulosus	Actinomycetota - g__Streptomyces	Streptomyces papulosus	p__Actinomycetota	g__Streptomyces	6	6	6	6/6/6	23	6	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR2-PDA-4	0	0	0	0	0	0	1
PBI66519.barcode62	6417788	N	NA	100	0.17	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_D;g__Rugamonas;s__Rugamonas eburnea_A	Pseudomonadota - g__Rugamonas	Rugamonas eburnea_A	p__Pseudomonadota	g__Rugamonas	7	6	6	7/6/6	24	1	TRUE	NA	TRUE	119	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR2-R2A-11	1	0	0	0	0	0	0
PBI66519.barcode63	7361473	N	NA	99.98	0.28	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces papulosus	Actinomycetota - g__Streptomyces	Streptomyces papulosus	p__Actinomycetota	g__Streptomyces	6	6	6	6/6/6	24	6	TRUE	NA	TRUE	114	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR2-PDA-2	0	0	1	0	0	0	1
PBI66519.barcode64	1289494	N	NA	100	0.18	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp035994185	Actinomycetota - g__Streptomyces	Streptomyces sp035994185	p__Actinomycetota	g__Streptomyces	6	4	5	6/4/5	25	54	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HOR-181125-GR10-PDA-12	1	0	0	0	0	0	1
PBI66519.barcode65	5591265	N	NA	100	0.12	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus_G;s__Rhodococcus_G tukisamuensis	Actinomycetota - g__Rhodococcus_G	Rhodococcus_G tukisamuensis	p__Actinomycetota	g__Rhodococcus_G	4	5	5	4/5/5	23	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR2-R2A-16	0	0	0	0	0	0	0
PBI66519.barcode66	946399	N	NA	100	1.21	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces lutosisoli	Actinomycetota - g__Streptomyces	Streptomyces lutosisoli	p__Actinomycetota	g__Streptomyces	2	6	6	2/6/6	24	107	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HOR-181125-GR6-ISP2-2	0	0	0	0	0	0	0
PBI66519.barcode67	1886397	N	NA	100	0.55	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	Actinomycetota - g__Streptomyces	Streptomyces sp.	p__Actinomycetota	g__Streptomyces	5	8	7	5/8/7	24	19	TRUE	NA	TRUE	114	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR6-ISP2-7	0	0	0	0	0	0	0
PBI66519.barcode68	6159569	N	NA	100	0.13	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas fluorescens_BH	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas fluorescens_BH	p__Pseudomonadota	g__Aquipseudomonas	8	7	7	8/7/7	25	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR7-PDA-11	0	0	0	0	0	0	0
PBI66519.barcode69	378712	N	NA	99.95	1.4	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_B	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_B	p__Bacillota	g__Paenibacillus	8	4	8	8/4/8	24	115	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HOR-181125-GR4-PDA-6	0	1	1	1	1	1	1
PBI66519.barcode70	44344	N	NA	94.27	3.14	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_D	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_D	p__Bacillota	g__Paenibacillus	3	5	1	3/5/1	23	755	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HOR-181125-GR7-PDA-16	0	1	1	1	1	1	1
PBI66519.barcode71	5255060	N	NA	100	0.48	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	14	11	13	14/11/13	24	3	TRUE	NA	TRUE	112	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR8-10%NB-12	0	0	1	0	0	0	1
PBI66519.barcode72	3494144	N	NA	100	0.64	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	Actinomycetota - g__Streptomyces	Streptomyces sp.	p__Actinomycetota	g__Streptomyces	6	7	8	6/7/8	24	16	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR6-ISP2-4	0	0	0	0	0	0	0
PBI66519.barcode73	1054082	N	NA	100	0.53	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sanglieri	Actinomycetota - g__Streptomyces	Streptomyces sanglieri	p__Actinomycetota	g__Streptomyces	5	1	3	5/1/3	24	116	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HOR-181125-GR4-PDA-3	0	0	1	0	0	0	1
PBI66519.barcode74	560862	N	NA	100	1.33	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp026339955	Actinomycetota - g__Streptomyces	Streptomyces sp026339955	p__Actinomycetota	g__Streptomyces	8	8	7	8/8/7	24	388	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HOR-181125-GR6-ISP2-6	0	0	0	0	0	0	1
PBI66519.barcode76	7478266	N	NA	100	0.82	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas sp018449725	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas sp018449725	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	26	2	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR8-PDA-16	0	0	0	0	0	1	1
PBI66519.barcode77	2455742	N	NA	100	0.6	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp000717915	Actinomycetota - g__Streptomyces	Streptomyces sp000717915	p__Actinomycetota	g__Streptomyces	7	7	8	7/7/8	25	12	TRUE	NA	TRUE	115	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR1-PDA-16	0	0	0	0	0	0	0
PBI66519.barcode79	8697820	N	NA	100	0.42	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces anulatus	Actinomycetota - g__Streptomyces	Streptomyces anulatus	p__Actinomycetota	g__Streptomyces	6	6	6	6/6/6	23	3	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR1-LB-20	0	0	1	0	0	0	1
PBI66519.barcode80	4109739	N	NA	100	0.03	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Agromyces;s__	Actinomycetota - g__Agromyces	Agromyces sp.	p__Actinomycetota	g__Agromyces	3	3	3	3/3/3	22	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR3-10%NB-9	0	0	0	0	0	0	1
PBI66519.barcode81	2698454	N	NA	100	0.52	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	13	11	13	13/11/13	24	8	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR3-10%NB-6	1	0	1	0	0	0	0
PBI66519.barcode82	5318109	N	NA	100	0.55	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	14	15	15	14/15/15	24	6	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR8-10%NB-11	0	0	1	0	0	0	1
PBI66519.barcode83	7445792	N	NA	100	0.23	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces papulosus	Actinomycetota - g__Streptomyces	Streptomyces papulosus	p__Actinomycetota	g__Streptomyces	6	6	6	6/6/6	23	4	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR2-R2A-13	0	0	1	0	0	0	1
PBI66519.barcode84	2572801	N	NA	100	1.03	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp000717915	Actinomycetota - g__Streptomyces	Streptomyces sp000717915	p__Actinomycetota	g__Streptomyces	6	7	6	6/7/6	23	8	TRUE	NA	TRUE	115	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR10-PDA-10	0	0	0	0	0	0	0
PBI66519.barcode85	4911497	N	NA	100	0.43	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces virginiae_A	Actinomycetota - g__Streptomyces	Streptomyces virginiae_A	p__Actinomycetota	g__Streptomyces	4	7	5	4/7/5	22	5	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR6-ISP2-3	0	0	0	0	0	0	0
PBI66519.barcode86	3732064	N	NA	100	0.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	12	9	12	12/9/12	24	21	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AASS-011225-GR1-PDA-10	0	0	0	0	0	0	0
PBI66519.barcode87	4080934	N	NA	99.94	0.01	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp001905825	Actinomycetota - g__Streptomyces	Streptomyces sp001905825	p__Actinomycetota	g__Streptomyces	6	5	6	6/5/6	25	8	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	AASS-011225-GR6-PDA-4	0	0	0	0	0	0	0
PBI66519.barcode88	4605374	N	NA	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	13	13	23	13/13/23	24	14	TRUE	NA	TRUE	109	TRUE	NA	NA	TRUE	High quality genome	360-011225-GR5-PDA-7	0	0	0	0	0	0	0
PBI66519.barcode89	2026683	N	NA	100	0.18	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces papulosus	Actinomycetota - g__Streptomyces	Streptomyces papulosus	p__Actinomycetota	g__Streptomyces	6	4	6	6/4/6	23	11	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR6-PDA-13	0	0	1	0	0	1	1
PBI66519.barcode90	3962267	N	NA	100	0.25	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	13	13	8	13/13/8	24	16	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	RIB-251125-GR7-PDA-9	0	0	0	0	0	0	1
PBI66519.barcode91	1995369	N	NA	100	0.12	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces papulosus	Actinomycetota - g__Streptomyces	Streptomyces papulosus	p__Actinomycetota	g__Streptomyces	1	6	5	1/6/5	23	22	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HOR-181125-GR6-PDA-12	1	0	1	0	0	0	0
PBI66519.barcode92	4212682	N	NA	100	0.13	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces stackebrandtii	Actinomycetota - g__Streptomyces	Streptomyces stackebrandtii	p__Actinomycetota	g__Streptomyces	6	5	6	6/5/6	24	6	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR7-PDA-17	1	0	1	0	0	0	1
PBI66519.barcode93	2163132	N	NA	99.68	0.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	Bacteroidota - g__Flavobacterium	Flavobacterium sp.	p__Bacteroidota	g__Flavobacterium	6	5	7	6/5/7	22	6	TRUE	NA	TRUE	120	TRUE	NA	NA	TRUE	High quality genome	HOR-181125-GR1-PDA-2	0	0	0	0	0	0	0
PBI66519.barcode94	8781857	N	NA	100	0.38	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces stackebrandtii	Actinomycetota - g__Streptomyces	Streptomyces stackebrandtii	p__Actinomycetota	g__Streptomyces	7	7	7	7/7/7	24	2	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	AGS-131125-GR4-BHI-6	0	0	0	0	0	0	1
PBI66519.barcode95	8151142	N	NA	100	4.45	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_AQ;s__	Bacillota - g__Paenibacillus_AQ	Paenibacillus_AQ sp.	p__Bacillota	g__Paenibacillus_AQ	10	9	9	10/9/9	24	2	TRUE	NA	TRUE	107	TRUE	NA	NA	TRUE	High quality genome	360-011225-GR4-ISP2-2	0	0	0	0	0	0	0
PBI66519.barcode96	1951201	N	NA	100	0.78	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp024721315	Actinomycetota - g__Streptomyces	Streptomyces sp024721315	p__Actinomycetota	g__Streptomyces	2	7	6	2/7/6	24	22	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HOR-181125-GR7-PDA-20	0	0	0	0	0	0	1
PBK85545.barcode01	5244341	Y	51	100	0.46	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	14	14	14	14/14/14	24	5	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	SG-15-01-26-GR2-BHI-14	0	0	1	0	0	0	1
PBK85545.barcode02	6109266	Y	49	100	0.3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__	Pseudomonadota - g__Lysobacter	Lysobacter sp.	p__Pseudomonadota	g__Lysobacter	2	2	2	2/2/2	24	1	TRUE	NA	TRUE	119	TRUE	NA	NA	TRUE	High quality genome	HG-24-02-26-GR5-10%NB-12	0	0	1	0	0	0	0
PBK85545.barcode03	8577474	N	27	100	3.09	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	Actinomycetota - g__Streptomyces	Streptomyces sp.	p__Actinomycetota	g__Streptomyces	7	7	7	7/7/7	23	10	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	SKG-27-02-26-GR1-ISP2-2	1	1	1	1	1	1	1
PBK85545.barcode04	7166790	Y	42	100	0.14	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas yamanorum	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas yamanorum	p__Pseudomonadota	g__Aquipseudomonas	6	5	5	6/5/5	24	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	SS-13-03-26-GR12-10%NB-18	0	0	0	0	0	0	0
PBK85545.barcode05	4098059	Y	72	100	0.09	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	Bacillota - g__Bacillus	Bacillus velezensis	p__Bacillota	g__Bacillus	9	9	9	9/9/9	25	2	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	SS-13-03-26-GR16-R2A-1	0	0	0	0	0	0	0
PBK85545.barcode06	5262922	Y	50	100	0.47	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A wiedmannii	Bacillota - g__Bacillus_A	Bacillus_A wiedmannii	p__Bacillota	g__Bacillus_A	14	14	14	14/14/14	24	3	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	MUN-27-03-26-GR2-AC-6	0	0	0	0	0	0	0
PBK85545.barcode07	200909	N	56	100	2.76	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia;s__Priestia megaterium	Bacillota - g__Priestia	Priestia megaterium	p__Bacillota	g__Priestia	11	6	13	11/6/13	25	208	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	MUN-20-01-26-GR2-PDA-1	0	0	0	0	0	0	0
PBK85545.barcode08	6042507	Y	49	100	0.18	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_B	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_B	p__Bacillota	g__Paenibacillus	12	12	12	12/12/12	25	2	TRUE	NA	TRUE	111	TRUE	NA	NA	TRUE	High quality genome	MUN-20-01-26-GR4-AC-11	1	1	1	1	1	1	1
